step,time_h,TS,TR,TB,TG,SH,LH,G,RN,TC,UST,ALB,LW
1,  1.66666666666666664E-002,  2.87718505473745779E+002,  2.87359869366024895E+002,  2.88717236268636498E+002,  2.87889166270593705E+002,  1.18083120871100231E+001,  0.00000000000000000E+000,  7.96991933313857714E+001, -6.78886714185249360E+001,  2.87757096937708354E+002,  3.64152631059060095E-001,  0.00000000000000000E+000,  3.87888671418524950E+002
2,  3.33333333333333329E-002,  2.87530723086266846E+002,  2.87356500439742661E+002,  2.88708416753547283E+002,  2.87897409194986267E+002,  9.76646156648740416E+000,  0.00000000000000000E+000,  7.76472780319275131E+001, -6.78790001314197724E+001,  2.87840017786853082E+002,  2.88757434154126913E-001,  0.00000000000000000E+000,  3.87879000131419787E+002
3,  5.00000000000000028E-002,  2.87494820633667359E+002,  2.87301293781588072E+002,  2.88673626477173968E+002,  2.87870377183513938E+002,  9.55438967447145338E+000,  0.00000000000000000E+000,  7.72182508519720017E+001, -6.76620731307452274E+001,  2.87809742901446270E+002,  2.88880386822639279E-001,  0.00000000000000000E+000,  3.87662073130745227E+002
4,  6.66666666666666657E-002,  2.87455654013128367E+002,  2.87248245358057432E+002,  2.88640380222921465E+002,  2.87844806215797405E+002,  9.30198519394232193E+000,  0.00000000000000000E+000,  7.67582253030824404E+001, -6.74544992224149240E+001,  2.87783830191080369E+002,  2.88317204491638113E-001,  0.00000000000000000E+000,  3.87454499222414938E+002
5,  8.33333333333333287E-002,  2.87417449623537152E+002,  2.87196333820138136E+002,  2.88607674645803286E+002,  2.87819379864942960E+002,  9.06018895412686120E+000,  0.00000000000000000E+000,  7.63125962570019425E+001, -6.72507116720755107E+001,  2.87758070195605740E+002,  2.87793696823531286E-001,  0.00000000000000000E+000,  3.87250711672075511E+002
6,  1.00000000000000006E-001,  2.87380042697093415E+002,  2.87145537387815011E+002,  2.88575527842428983E+002,  2.87794143660024531E+002,  8.82701067985632903E+000,  0.00000000000000000E+000,  7.58793982291766866E+001, -6.70507355591376353E+001,  2.87732611549157355E+002,  2.87272991492532437E-001,  0.00000000000000000E+000,  3.87050735559137649E+002
7,  1.16666666666666669E-001,  2.87343408708277707E+002,  2.87095817119341348E+002,  2.88543920618282868E+002,  2.87769092511625161E+002,  8.60215059535394211E+000,  0.00000000000000000E+000,  7.54581986977854200E+001, -6.68544381961393555E+001,  2.87707440832127190E+002,  2.86755802378248215E-001,  0.00000000000000000E+000,  3.86854438196139370E+002
8,  1.33333333333333331E-001,  2.87307519852970643E+002,  2.87047135924651343E+002,  2.88512835893068768E+002,  2.87744223326417625E+002,  8.38526942361336758E+000,  0.00000000000000000E+000,  7.50485359375136625E+001, -6.66616971981740818E+001,  2.87682550933731306E+002,  2.86241492299534994E-001,  0.00000000000000000E+000,  3.86661697198174068E+002
9,  1.49999999999999994E-001,  2.87272349787651365E+002,  2.86999458165148781E+002,  2.88482257210302066E+002,  2.87719533054164401E+002,  8.17604551277623592E+000,  0.00000000000000000E+000,  7.46499705991474372E+001, -6.64723949280894857E+001,  2.87657934806433900E+002,  2.85729412068017552E-001,  0.00000000000000000E+000,  3.86472394928089500E+002
10,  1.66666666666666657E-001,  2.87237873400642059E+002,  2.86952749593084945E+002,  2.88452168761942403E+002,  2.87695018754583259E+002,  7.97417207879513334E+000,  0.00000000000000000E+000,  7.42620829033217404E+001, -6.62864184479886802E+001,  2.87633585683302385E+002,  2.85218830584208216E-001,  0.00000000000000000E+000,  3.86286418447988694E+002
